"Complete Blood Count","Hemograma completo","EN","ES"
"CT Scan","Tomografía computarizada","EN","ES"
"Culture","Cultivo","EN","ES"
"Discharge","Secreción / Dar de alta","EN","ES"
"Feeling blue","Sentirse deprimido / Triste","EN","ES"
"Frog in my throat","Carraspera / Garganta irritada","EN","ES"
"Funny bone","Nervio cubital","EN","ES"
"History","Historial clínico","EN","ES"
"Hypertension","Hipertensión","EN","ES"
"Myocardial Infarction","Infarto de miocardio","EN","ES"
"Pins and needles","Hormigueo","EN","ES"
"Tender","Sensible (al tacto)","EN","ES"
"Tummy","Abdomen","EN","ES"
"Tylenol","Paracetamol","EN","ES"
"Wrist","Muñeca","EN","ES"